城市,月份,AQI,范围,质量等级,PM2.5,PM10,CO,NO2,SO2,O3
北京,2013-12,100,23~291,轻度污染,73,97,1.73,56,37,38
北京,2014-01,125,26~402,轻度污染,94,123,1.948,65,51,37
北京,2014-02,184,33~428,中度污染,148,155,2.171,69,56,42
北京,2014-03,130,35~319,轻度污染,94,138,1.39,62,34,83
北京,2014-04,127,65~279,轻度污染,89,145,0.927,57,16,129
北京,2014-05,107,46~205,轻度污染,61,118,0.839,47,15,149
北京,2014-06,116,50~179,轻度污染,54,74,0.79,39,6,168
北京,2014-07,140,39~252,轻度污染,89,100,0.939,39,6,170
北京,2014-08,120,46~200,轻度污染,62,88,0.839,43,5,172
北京,2014-09,99,43~200,良,65,88,0.983,49,6,106
北京,2014-10,154,28~381,中度污染,118,148,1.339,70,9,54
北京,2014-11,117,29~342,轻度污染,86,127,1.567,65,16,37
北京,2014-12,86,21~267,良,58,95,1.552,53,28,42
北京,2015-01,126,28~378,轻度污染,97,120,1.91,66,34,39
北京,2015-02,127,36~334,轻度污染,93,114,1.457,51,26,60
北京,2015-03,127,40~281,轻度污染,86,146,1.194,53,20,87
北京,2015-04,107,38~212,轻度污染,71,118,0.76,43,9,124
北京,2015-05,105,42~203,轻度污染,55,97,0.745,37,8,153
北京,2015-06,111,35~231,轻度污染,60,70,1.303,35,6,156
北京,2015-07,122,41~200,轻度污染,61,74,0.823,35,4,177
北京,2015-08,104,37~202,轻度污染,45,66,0.79,31,3,159
北京,2015-09,83,34~201,良,50,59,0.837,43,5,109
北京,2015-10,106,27~344,轻度污染,74,86,0.955,55,6,74
北京,2015-11,153,37~450,中度污染,119,85,1.983,62,12,25
北京,2015-12,187,23~485,中度污染,152,172,2.865,76,20,26
北京,2016-01,97,32~316,良,68,88,1.584,53,20,42
北京,2016-02,71,34~238,良,44,59,0.903,35,15,68
北京,2016-03,132,37~365,轻度污染,93,136,1.229,57,18,79
北京,2016-04,106,43~209,轻度污染,69,118,0.803,44,10,116
北京,2016-05,111,49~234,轻度污染,54,90,0.665,38,8,160
北京,2016-06,126,50~189,轻度污染,59,70,0.767,35,5,183
北京,2016-07,118,40~177,轻度污染,69,74,0.916,33,3,159
北京,2016-08,94,34~179,良,47,60,0.832,35,3,135
北京,2016-09,86,0~211,良,55,73,0.76,43,3,104
北京,2016-10,116,29~292,轻度污染,85,101,1.155,56,4,47
北京,2016-11,133,28~315,轻度污染,100,134,1.797,68,11,28
北京,2016-12,168,54~431,中度污染,133,159,2.51,80,17,28
北京,2017-01,146,34~470,轻度污染,116,131,2.203,65,18,41
